timeStep pedestrianId x-PID3 y-PID3
1 10 10.883847238277996 4.6786120015623975
1 11 11.134172083470617 5.094589558223409
1 12 11.912907094103772 4.42822103035168
1 13 10.661528207302986 4.48129662638279
1 14 7.955380970855928 5.60563917302186
1 15 11.08569191096762 5.5303804466418836
1 16 9.45813335798675 5.157348840416497
1 17 8.345493066560898 5.08542854092589
1 18 7.5145252372648645 5.382576305478197
1 19 7.34905231506345 4.356755534755927
1 20 12.274944058143435 4.374515290460983
1 21 10.735513482530225 4.233332934699421
1 22 9.573122815250539 4.205693909134311
1 23 10.759098799263299 4.662728938383325
1 24 12.251086518332198 5.5536809100990165
1 25 10.626826242328633 5.3371898458218965
1 26 8.64798004460398 5.556116266504993
1 27 8.512906291036341 4.758080715439349
1 28 11.337475831408183 4.790012939401998
1 29 12.017035115672634 4.136620616458632
1 30 7.376349638264114 5.051431797077244
1 31 8.768955726161417 4.757645921703224
1 32 8.378657354169887 5.545891208234553
1 33 10.012210409942895 5.010617824795562
1 34 10.959032065745742 4.809031583807517
1 35 11.480514996821256 5.467609250440253
1 36 7.287654149764776 5.003399777733093
1 37 9.215540172728055 5.614924933510629
1 38 9.593221056817116 5.527553181272699
1 39 10.325156311721363 5.119819050145836
2 10 10.883847238277996 4.6786120015623975
2 11 11.134172083470617 5.094589558223409
2 12 11.912907094103772 4.42822103035168
2 13 10.661528207302986 4.48129662638279
2 14 7.955380970855928 5.60563917302186
2 15 11.08569191096762 5.5303804466418836
2 16 9.45813335798675 5.157348840416497
2 17 8.345493066560898 5.08542854092589
2 18 7.5145252372648645 5.382576305478197
2 19 7.34905231506345 4.356755534755927
2 20 12.274944058143435 4.374515290460983
2 21 10.735513482530225 4.233332934699421
2 22 9.573122815250539 4.205693909134311
2 23 10.759098799263299 4.662728938383325
2 24 12.251086518332198 5.5536809100990165
2 25 10.626826242328633 5.3371898458218965
2 26 8.64798004460398 5.556116266504993
2 27 8.512906291036341 4.758080715439349
2 28 11.337475831408183 4.790012939401998
2 29 12.017035115672634 4.136620616458632
2 30 7.376349638264114 5.051431797077244
2 31 8.768955726161417 4.757645921703224
2 32 8.378657354169887 5.545891208234553
2 33 10.012210409942895 5.010617824795562
2 34 10.959032065745742 4.809031583807517
2 35 11.480514996821256 5.467609250440253
2 36 7.287654149764776 5.003399777733093
2 37 9.215540172728055 5.614924933510629
2 38 9.593221056817116 5.527553181272699
2 39 10.325156311721363 5.119819050145836
3 10 10.34985055830629 4.532616511783358
3 11 11.66868380633037 5.067923218939393
3 12 12.422823018323662 4.644733719890364
3 13 11.079403911631092 4.296465626121379
